planning_area,year,hdb_1_and_2_room_flats,hdb_3_room_flats,hdb_4_room_flats,hdb_5_room_and_executive_flats,condominiums_and_other_apartments,landed_properties,others
BUKIT PANJANG,2000,0.0,2778.0,12100.0,8696.0,2342.0,245.0,9.0
BISHAN,2000,368.0,2484.0,9918.0,7617.0,1264.0,2635.0,35.0
BUKIT TIMAH,2000,0.0,454.0,918.0,1075.0,6663.0,7120.0,14.0
WESTERN WATER CATCHMENT,2000,,,,,,,
WOODLANDS,2000,861.0,5260.0,25655.0,22396.0,5.0,0.0,5.0
WESTERN ISLANDS,2000,,,,,,,
CHANGI BAY,2000,,,,,,,
CHOA CHU KANG,2000,213.0,1361.0,19382.0,16785.0,108.0,0.0,9.0
CENTRAL WATER CATCHMENT,2000,,,,,,,
CHANGI,2000,0.0,85.0,0.0,0.0,87.0,74.0,34.0
CLEMENTI,2000,912.0,13215.0,7532.0,2974.0,2136.0,911.0,224.0
DOWNTOWN CORE,2000,167.0,717.0,367.0,9.0,133.0,0.0,33.0
GEYLANG,2000,4244.0,12061.0,8860.0,4079.0,2394.0,2043.0,378.0
ANG MO KIO,2000,4190.0,26561.0,12850.0,4984.0,2463.0,2722.0,333.0
BEDOK,2000,3335.0,22830.0,19348.0,11881.0,6860.0,9115.0,463.0
BUKIT BATOK,2000,135.0,11498.0,14041.0,7338.0,2798.0,280.0,162.0
BUKIT MERAH,2000,9605.0,19829.0,9116.0,6036.0,1490.0,0.0,390.0
BOON LAY/PIONEER,2000,,,,,,,
SINGAPORE RIVER,2000,,,,,,,
SERANGOON,2000,100.0,4883.0,10866.0,6409.0,2994.0,7563.0,107.0
SOUTHERN ISLANDS,2000,,,,,,,
MARINA SOUTH,2000,,,,,,,
SUNGEI KADUT,2000,,,,,,,
SELETAR,2000,,,,,,,
SIMPANG,2000,,,,,,,
TENGAH,2000,,,,,,,
TAMPINES,2000,289.0,12587.0,28296.0,21443.0,2580.0,0.0,153.0
HOUGANG,2000,835.0,9682.0,23524.0,14127.0,951.0,4505.0,179.0
JURONG EAST,2000,0.0,7542.0,7621.0,8293.0,1330.0,0.0,98.0
JURONG WEST,2000,518.0,11550.0,24874.0,18289.0,406.0,0.0,98.0
KALLANG,2000,5724.0,11258.0,5536.0,3185.0,2368.0,636.0,305.0
LIM CHU KANG,2000,,,,,,,
MANDAI,2000,,,,,,,
MUSEUM,2000,,,,,,,
NORTH-EASTERN ISLANDS,2000,,,,,,,
MARINA EAST,2000,,,,,,,
NOVENA,2000,623.0,3013.0,1916.0,1246.0,3400.0,1907.0,54.0
MARINE PARADE,2000,1269.0,3038.0,1826.0,1687.0,2945.0,2245.0,101.0
NEWTON,2000,5.0,0.0,0.0,0.0,1530.0,180.0,0.0
STRAITS VIEW,2000,,,,,,,
OUTRAM,2000,3543.0,2927.0,856.0,43.0,543.0,0.0,104.0
SENGKANG,2000,73.0,184.0,5300.0,8042.0,0.0,159.0,9.0
ORCHARD,2000,,,,,,,
PUNGGOL,2000,,,,,,,
PAYA LEBAR,2000,,,,,,,
PASIR RIS,2000,19.0,0.0,10902.0,16089.0,2066.0,717.0,5.0
QUEENSTOWN,2000,3654.0,17065.0,4643.0,3170.0,2231.0,286.0,164.0
ROCHOR,2000,614.0,2150.0,1284.0,81.0,483.0,68.0,289.0
RIVER VALLEY,2000,0.0,0.0,0.0,0.0,2459.0,263.0,5.0
SEMBAWANG,2000,0.0,277.0,3035.0,3358.0,9.0,476.0,5.0
TANGLIN,2000,0.0,19.0,77.0,78.0,2861.0,835.0,0.0
TOA PAYOH,2000,4237.0,17166.0,7314.0,5542.0,612.0,985.0,275.0
TUAS,2000,,,,,,,
YISHUN,2000,39.0,13112.0,24594.0,10516.0,424.0,11.0,158.0
YISHUN,2010,263.0,13846.0,25550.0,10596.0,1963.0,1221.0,137.0
SENGKANG,2010,69.0,244.0,19796.0,25156.0,2106.0,416.0,0.0
SELETAR,2010,,,,,,,
SIMPANG,2010,,,,,,,
HOUGANG,2010,335.0,9864.0,25241.0,15488.0,4768.0,5486.0,357.0
SOUTHERN ISLANDS,2010,,,,,,,
CHANGI,2010,0.0,153.0,0.0,6.0,480.0,98.0,41.0
WESTERN WATER CATCHMENT,2010,,,,,,,
SEMBAWANG,2010,0.0,0.0,8046.0,11248.0,579.0,702.0,37.0
LIM CHU KANG,2010,,,,,,,
NORTH-EASTERN ISLANDS,2010,,,,,,,
JURONG EAST,2010,168.0,7319.0,8026.0,8303.0,2346.0,0.0,130.0
WESTERN ISLANDS,2010,,,,,,,
PASIR RIS,2010,25.0,0.0,11526.0,17424.0,5134.0,1949.0,0.0
PUNGGOL,2010,0.0,0.0,5914.0,12085.0,0.0,44.0,0.0
MANDAI,2010,0.0,0.0,0.0,0.0,267.0,203.0,18.0
TENGAH,2010,,,,,,,
SERANGOON,2010,176.0,4662.0,10974.0,6502.0,4290.0,9111.0,130.0
BEDOK,2010,4233.0,23792.0,21673.0,14003.0,15148.0,11765.0,611.0
PIONEER,2010,,,,,,,
WOODLANDS,2010,1485.0,5918.0,29621.0,27756.0,3281.0,141.0,77.0
JURONG WEST,2010,1289.0,11784.0,30448.0,29644.0,3820.0,1022.0,75.0
TAMPINES,2010,426.0,12921.0,29194.0,22957.0,6697.0,1216.0,180.0
MARINE PARADE,2010,1402.0,3136.0,1796.0,1813.0,4698.0,2444.0,209.0
PAYA LEBAR,2010,,,,,,,
