planning_area,year,owner,tenant,others
BUKIT PANJANG,2000,25287.0,687.0,197.0
BISHAN,2000,23743.0,939.0,273.0
BUKIT TIMAH,2000,14419.0,1847.0,546.0
WESTERN WATER CATCHMENT,2000,,,
WOODLANDS,2000,52451.0,1403.0,329.0
WESTERN ISLANDS,2000,,,
CHANGI BAY,2000,,,
CHOA CHU KANG,2000,37081.0,619.0,158.0
CENTRAL WATER CATCHMENT,2000,,,
CHANGI,2000,147.0,102.0,31.0
CLEMENTI,2000,25721.0,1985.0,200.0
DOWNTOWN CORE,2000,1094.0,308.0,24.0
GEYLANG,2000,29390.0,4486.0,517.0
ANG MO KIO,2000,48822.0,4796.0,484.0
BEDOK,2000,68816.0,5060.0,958.0
BUKIT BATOK,2000,34569.0,1380.0,304.0
BUKIT MERAH,2000,37420.0,8616.0,440.0
BOON LAY/PIONEER,2000,,,
SINGAPORE RIVER,2000,,,
SERANGOON,2000,31738.0,983.0,454.0
SOUTHERN ISLANDS,2000,,,
MARINA SOUTH,2000,,,
SUNGEI KADUT,2000,,,
SELETAR,2000,,,
SIMPANG,2000,,,
TENGAH,2000,,,
TAMPINES,2000,64124.0,1339.0,436.0
HOUGANG,2000,52572.0,1660.0,561.0
JURONG EAST,2000,24074.0,615.0,200.0
JURONG WEST,2000,53559.0,1729.0,448.0
KALLANG,2000,22336.0,6137.0,539.0
LIM CHU KANG,2000,,,
MANDAI,2000,,,
MUSEUM,2000,,,
NORTH-EASTERN ISLANDS,2000,,,
MARINA EAST,2000,,,
NOVENA,2000,10632.0,1379.0,273.0
MARINE PARADE,2000,10709.0,2224.0,321.0
NEWTON,2000,1235.0,388.0,93.0
STRAITS VIEW,2000,,,
OUTRAM,2000,4696.0,3262.0,89.0
SENGKANG,2000,13500.0,167.0,101.0
ORCHARD,2000,,,
PUNGGOL,2000,,,
PAYA LEBAR,2000,,,
PASIR RIS,2000,29023.0,598.0,181.0
QUEENSTOWN,2000,27359.0,3329.0,525.0
ROCHOR,2000,4154.0,672.0,143.0
RIVER VALLEY,2000,2018.0,534.0,174.0
SEMBAWANG,2000,6976.0,85.0,100.0
TANGLIN,2000,3035.0,630.0,205.0
TOA PAYOH,2000,32444.0,4336.0,386.0
TUAS,2000,,,
YISHUN,2000,47705.0,876.0,273.0
YISHUN,2010,49335.0,3756.0,485.0
SENGKANG,2010,45264.0,2098.0,425.0
SELETAR,2010,,,
SIMPANG,2010,,,
HOUGANG,2010,57678.0,3756.0,851.0
SOUTHERN ISLANDS,2010,,,
CHANGI,2010,259.0,343.0,176.0
WESTERN WATER CATCHMENT,2010,,,
SEMBAWANG,2010,19193.0,1120.0,299.0
LIM CHU KANG,2010,,,
NORTH-EASTERN ISLANDS,2010,,,
JURONG EAST,2010,24332.0,1669.0,291.0
WESTERN ISLANDS,2010,,,
PASIR RIS,2010,33290.0,2430.0,337.0
PUNGGOL,2010,17139.0,764.0,140.0
MANDAI,2010,426.0,49.0,13.0
TENGAH,2010,,,
SERANGOON,2010,33104.0,2385.0,497.0
BEDOK,2010,78754.0,11087.0,1383.0
PIONEER,2010,,,
WOODLANDS,2010,61494.0,6167.0,618.0
JURONG WEST,2010,70350.0,6800.0,934.0
TAMPINES,2010,67913.0,4868.0,810.0
MARINE PARADE,2010,11926.0,3243.0,330.0
PAYA LEBAR,2010,,,
QUEENSTOWN,2010,28238.0,5710.0,416.0
ANG MO KIO,2010,50755.0,8307.0,644.0
SINGAPORE RIVER,2010,469.0,285.0,44.0
CHOA CHU KANG,2010,44830.0,2646.0,436.0
SUNGEI KADUT,2010,,,
BUKIT PANJANG,2010,34172.0,1831.0,336.0
KALLANG,2010,25707.0,9301.0,466.0
BOON LAY,2010,,,
BUKIT MERAH,2010,42018.0,13092.0,516.0
DOWNTOWN CORE,2010,1020.0,348.0,61.0
MARINA SOUTH,2010,,,
STRAITS VIEW,2010,,,
MARINA EAST,2010,,,
TANGLIN,2010,3683.0,1648.0,256.0
NOVENA,2010,12120.0,2787.0,301.0
BUKIT BATOK,2010,39975.0,3750.0,408.0
CLEMENTI,2010,26672.0,3791.0,329.0
TUAS,2010,,,
BISHAN,2010,24950.0,2240.0,267.0
TOA PAYOH,2010,34421.0,7998.0,558.0
