planning_area,year,bus,mrt,mrt_bus,mrt_car,mrt_other,taxi,car,pvt_chartered_bus,lorry_pickup,motorcycle_scooter,others,no_transport_required,other_combi_mrt_or_bus,mrt_lrt_only,mrt_lrt_and_bus,other_combi_mrt_lrt_or_bus,taxi_pvt_hire_car_only,pvt_chartered_bus_van
BUKIT PANJANG,2000,6871.0,231.0,877.0,19.0,0.0,19.0,1477.0,3630.0,34.0,74.0,2684.0,8355.0,0.0,0.0,0.0,0.0,0.0,0.0
BISHAN,2000,6292.0,371.0,1335.0,53.0,0.0,24.0,2578.0,4098.0,14.0,58.0,1428.0,5076.0,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT TIMAH,2000,3245.0,38.0,432.0,24.0,0.0,33.0,4146.0,3377.0,0.0,26.0,1644.0,1728.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTERN WATER CATCHMENT,2000,,,,,,,,,,,,,,,,,,
WOODLANDS,2000,9269.0,3498.0,6078.0,125.0,0.0,48.0,1827.0,4995.0,45.0,134.0,1642.0,17561.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTERN ISLANDS,2000,,,,,,,,,,,,,,,,,,
CHANGI BAY,2000,,,,,,,,,,,,,,,,,,
CHOA CHU KANG,2000,7742.0,1655.0,3704.0,82.0,0.0,10.0,1672.0,5182.0,34.0,72.0,1851.0,13514.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTRAL WATER CATCHMENT,2000,,,,,,,,,,,,,,,,,,
CHANGI,2000,91.0,0.0,10.0,0.0,0.0,0.0,19.0,29.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEMENTI,2000,6561.0,381.0,1389.0,0.0,0.0,14.0,1238.0,2372.0,0.0,39.0,868.0,4270.0,0.0,0.0,0.0,0.0,0.0,0.0
DOWNTOWN CORE,2000,261.0,63.0,86.0,0.0,0.0,0.0,24.0,30.0,0.0,0.0,11.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0
GEYLANG,2000,7984.0,597.0,2139.0,10.0,0.0,38.0,1699.0,2753.0,12.0,88.0,1104.0,6355.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG MO KIO,2000,12510.0,944.0,2922.0,38.0,0.0,30.0,2925.0,3485.0,10.0,149.0,1638.0,10918.0,0.0,0.0,0.0,0.0,0.0,0.0
BEDOK,2000,21231.0,1184.0,4682.0,100.0,0.0,83.0,5535.0,9633.0,37.0,341.0,3436.0,11917.0,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT BATOK,2000,10037.0,902.0,2564.0,34.0,0.0,34.0,1924.0,4133.0,19.0,110.0,1362.0,10285.0,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT MERAH,2000,9867.0,411.0,1805.0,10.0,0.0,62.0,1324.0,3050.0,0.0,89.0,915.0,5275.0,0.0,0.0,0.0,0.0,0.0,0.0
BOON LAY/PIONEER,2000,,,,,,,,,,,,,,,,,,
