_id,car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,_fp,latitude,longitude,has_free_parking,free_daytime,free_halfday,free_time_ranges,has_short_term_parking,is_very_visitor_friendly,has_height_restriction,has_big_vehicle_restrictions
32,A1,BLK 215 ANG MO KIO STREET 22,28934.1777,38749.8516,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,ad98d978442fc765b239b9329ce8cac244d5edc891bb212ae2919e39ea7807e6,1.3667143987756958,103.84171281191207,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
33,A10,BLK 201/202 ANG MO KIO STREET 22,29247.03,38962.0,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,b4ea701761603d7cf4741996571a46f88a98bbdf8cac96f6b6ef71479beb2df9,1.3686329816140794,103.8445240151766,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
34,A100,BLK 650 ANG MO KIO STREET 61,29033.1895,39996.3712,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,1,0,0.0,0,9c7c5c39cfdf3a95298bf06fb996cb532ad4bafbd4592bb3ae447b3c3ed2f37b,1.3779874731949442,103.842602544842,0,0,0,,1,0,0,0
35,A101,BLK 651 ANG MO KIO AVENUE 9,28937.1415,40554.9338,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,1,14,2.15,0,3fc85dfa7c8cc835a129cac2e8ca960838e23aa9fd22a560c6d90b810044bdbe,1.3830389165845827,103.84173950080415,0,0,0,,1,0,1,1
36,A102,BLK 246 ANG MO KIO STREET 21,28048.8332,38931.3681,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,1,7,2.15,0,badca236e64e3d88f0a016196af0549b4c4680a9f17cffc66a054ed5df08f2a9,1.368355983880076,103.83375737921092,0,0,0,,1,0,1,1
37,A11,BLK 223/226/226A-226D ANG MO KIO STREET 22,28541.14,38785.36,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,eb96801a3a39d81cdf532dfd3617e5f097d9505965653bbf80953d924b15024e,1.3670355338571134,103.8381810968511,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
38,A12,BLK 229/230 ANG MO KIO STREET 22,28605.489,38954.8,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,79ea2d9e6bd5754f7fdcd263c278eac4da888cda582f5fc16ce5bedad29cf0b8,1.3685678874797558,103.83875932066391,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
39,A13,BLK 232/233 ANG MO KIO STREET 22,28388.51,38892.03,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,7c9e4f555362b7d8b5f5f4978e9b0e878734bb71389196f67397ea023e306916,1.3680002216512899,103.83680961188561,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
40,A15,BLK 226E-226H ANG MO KIO STREET 22,28790.02,38777.85,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,231eb92d31c147b9e1ffd6f829863291325df922221044085834f0d791c41bc7,1.3669676105068467,103.84041745596973,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
41,A2,BLK 206/207 ANG MO KIO STREET 22,29082.59,38697.07,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,0bd83a0e7bf60e95e634fc45a98fc0be09b647026752143ce4dbde8f5f9fc1d9,1.3662370557741221,103.84304639719952,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
42,A20,BLK 304/307/319 ANG MO KIO STREET 31,29684.7366,38554.0251,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,39e2529309281b1f77f31b730207843eca5967d01a8de79f05de6b635785c81c,1.3649433806415425,103.84845709182149,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
43,A21,BLK 325/326/301 ANG MO KIO STREET 31,29446.1477,38906.1139,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,f9a5280ca477bfbbb63ce8cbe001311a497b9cfaa83220dbe2af75ff6616b75f,1.3681275586189163,103.8463132241709,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
44,A23,BLK 347A ANG MO KIO AVENUE 3,29735.5099,38818.5301,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,10,1.9,0,977d41b0b8dadae121d81518dd6227387a4089eda7f962d2d71788e164858ddf,1.3673354664536144,103.8489133401168,1,1,0,"[""7AM-10.30PM""]",1,1,1,1
